year,month,temp_surf,precip,moisture_upper_soil
2083,9,302.8042602539,238.1537889596,20.6732063293
2083,10,303.0939941406,166.2463636603,26.7189369202
2083,11,302.2698364258,351.1092904955,38.4869041443
2083,12,302.41015625,258.9551999699,40.8171958923
2084,1,302.3214111328,305.1892204676,39.2916755676
2084,2,302.0736694336,460.9855050221,42.1399307251
2084,3,302.3670654297,197.9416315444,41.8404846191
2084,4,301.9747924805,319.4520995021,41.7704620361
2084,5,301.6480102539,244.7358292993,39.2610969543
2084,6,301.9738769531,86.5538738435,35.7627754211
2084,7,303.129699707,30.7142245292,37.0587806702
2084,8,303.3941650391,61.1491572345,35.5736694336
2084,9,305.3734741211,0.1951051672,33.8322219849
2084,10,305.8211669922,64.8856477928,37.6663627625
2084,11,304.3971557617,198.2237286866,41.1612281799
2084,12,302.977722168,256.3176350668,40.4727592468
